Osteichthyes (Bony fishes) Caloric Equivalents (cal g^-1 dry weight),,,
Family,Species,Common,Per gram dry weight
Poeciliidae,Lebistes reticulatus,Guppie,
Cottidae,Cottus baridii,Slimy muddler,3952.1
Cottidae,Cottus perplexus,Reticulate sculpin,5287
Centrarchidae,Lepomis machrochirus,Bluegill,3719
Centrarchidae,Lepomis marcrochirus,Bluegill,5102
Centrarchidae,Lepomis marcrochirus,Bluegill,5820
Centrarchidae,Lepomis gibbosus,Pumpkin seed,4065.7
Gadidae,Gadus morhua,Atlantic cod,
Gobiidae,Glossogobius giuris,Tank goby,3880
Cyprinidae,Barbus conchonius,Rosy barb,2878
Cyprinidae,Rhinichthys atratulus,Blacknose dace,7285
Cyprinidae,Rhinichthys atratulus,Blacknose dace,6540
Cyprinidae,Rhinichthys atratulus,Blacknose dace,6342
Labridae,Tautogolabrus adspersus,Cunner,4880
Clupeidae,Clupea harengus,Herring,6360
Salmonidae,Oncorhynchus keta,Chum salmon,3606
Salmonidae,Oncorhynchus nerka,Sockeye salmon,3446
Salmonidae,Oncorhynchus nerka,Sockeye salmon,3345
Salmonidae,Oncorhynchus garbusha,Pink salmon,4043
Salmonidae,Oncorhynchus garbusha,Pink salmon,3599
Salmonidae,Oncorhynchus tschawytscha,King salmon,3649
Salmonidae,Oncorhynchus kisutch,Silver salmon,3446
Salmonidae,Oncorhynchus masu,Masu salmon,3767
Salmonidae,Oncorhynchus masu,Masu salmon,3464
Salmonidae,Salmo salar,Atlantic salmon,3660
Salmonidae,Salmo salar,Baltic salmon,3557
