,No. of cornbus- tions,Dry weight % ash,,Dry weight KJ/g,,Dry weight ash free KJ/g,Wet weight KJ/g
,,,,,,,
Osteichthyes,,,%H2O,Mean,SD,,
,,,,,,,
Conger oceanicus,6,8,67,29.8,1.7,32.4,9.8
Ophichthus cruentifier,4,14,71,19.8,0.8,22.9,5.8
Alosa sapidissima,5,11,75,19.6,0.5,22.1,4.9
Alosa aestivalis,15,12,69,22.2,0.7,25.0,7.7
Alosa mediocris,5,11,74,21.1,0.4,23.8,5.5
Alosa pseudoharengus,24,12,71,21.7,0.5,24.5,6.4
Clupea harengus,20,8,57,25.1,2.3,27.2,10.6
Brevoortia tyrannus,10,13,65,21.4,0.4,24.6,7.5
Etrumeus teres,17,14,73,20.4,0.5,23.6,5.5
Opisthonema oglinum,5,11,74,24.8,0.9,27.7,6.4
Sardinella aurita,5,14,70,19.9,0.1,23.1,6.0
Anchoa hepsetus,24,16,71,19.9,0.4,23.6,5.8
Anchoa mitchilli,5,14,72,21.2,0.5,24.6,5.9
Synodus foetens,5,17,75,18.3,0.5,22.1,4.6
Lophius americanus,6,13,91,18.5,0.8,21.3,1.7
Gadus morhua,9,16,78,18.2,0.3,21.6,4.2
Pollachius virens,5,13,74,19.2,1.8,21.9,5.0
Urophycis chuss,10,14,80,19.4,0.5,22.6,3.8
Urophycis regia,3,10,78,21.3,0.7,23.6,4.7
Urophycis tenuis,3,14,67,19.2,0.3,22.3,6.3
Melanogrammus aeglefinus,4,17,78,20.3,0.7,24.3,4.5
Enchelyopus cimbrius,5,16,80,18.0,0.6,21.6,3.6
Merluccius bilinearis,10,13,79,21.3,0.3,24.6,4.6
Macrozoarces americanus,9,13,76,19.2,0.2,22.0,4.7
Scomberesox saurus,5,9,62,22.3,0.7,24.6,8.5
Menidia menidia,10,13,66,21.2,0.7,24.4,7.3
Sebastes marinus,15,20,75,18.5,1.1,23.1,4.4
Prionotus carolinus,5,22,75,17.7,1.1,22.7,4.4
Hemitripterus americanus,6,16,86,18.1,0.5,21.5,2.5
Myoxocephalus octodecemspinosus,5,17,74,20.8,0.6,25.1,5.4
Triglops murrayi,5,16,80,18.1,0.6,21.5,3.6
Triglops nybelini,5,14,73,19.4,1.2,22.5,5.2
Citharichthys arctifrons,5,14,78,19.4,0.2,22.5,4.3
Paralichthys oblongus,10,13,75,22.0,0.3,25.4,5.5
Scophthalmus aquosus,3,13,86,22.2,0.2,25.4,3.1
Hippoglossoides platessoides,3,15,77,17.7,0.2,21.0,4.1
Limanda ferruginea,12,16,75,17.6,0.6,20.9,4.4
Liopsetta putnami,5,17,78,17.1,0.1,20.7,3.8
Pseudopleuronectes americanus,5,15,78,16.4,0.6,19.4,3.6
Symphurus plagiusa,4,16,67,19.0,0.7,22.7,6.3
Sphoeroides maculatus,4,15,74,19.4,1.2,22.8,5.1
Pomatomus saltatrix,5,20,77,20.8,0.8,25.0,4.8
Caranx chrysos,5,16,68,17.7,0.3,21.1,5.7
Chloroscombrus chrysurus,5,14,63,23.9,0.5,27.9,8.8
Selar crumenopthalmus,5,14,70,16.4,6.9,19.0,4.9
Seriola dumerili,3,15,75,18.4,0.4,21.5,4.6
Oecapterus punctatus,5,13,68,18.8,0.4,21.6,6.0
Stenotomus chrysops,14,16,73,21.5,0.2,25.6,6.1
Cynoscion regalis,4,13,76,20.1,0.7,23.0,4.8
Leiostomus xanthurus,11,17,65,20.1,0.5,24.0,7.0
Tautogolabrus adspersus,5,11,70,22.2,0.5,24.9,6.6
Lumpenus maculatus,8,12,71,20.2,0.6,22.2,5.6
Ammodytes americanus,20,12,69,21.7,0.6,24.8,6.8
Scomber japonicus,15,12,71,21.6,0.2,24.4,6.2
Scotnber scombrus,28,8,75,24.1,1.9,26.2,6.0
Thunnus albacares,6,,,23.4,0.6,,
Acanthocybium solanderi,6,6,,23.4,1.5,24.9,
Xiphias gladius,59,4,,27.5,0.6,28.8,
Peprilus triacanthus,25,11,74,24.2,0.3,27.2,6.2
Peprilus alepidotus,5,11,73,22.9,0.4,25.8,6.2
